,location,google_results
149," Manchester, U.K.",840000000
150," Christchurch, New Zealand",50200000
151,"Williamsburg, VA, USA",12900000
152,"Alicante, Spain",133000000
153," Dana Point, California, USA",55000000
154,"Santa Margherita Ligure, Italy",13500000
155,"Glasgow, UK",183000000
156,Saarbrücken,45000000
157," Maui, Hawaii, USA - Volume 5",13200000
158,"Eindhoven, The Netherlands",46500000
159,"Berkeley, CA, USA",156000000
160," Aizu, Japan",5720000
161," Glasgow, Scotland, UK",204000000
162,"Brest, France",113000000
163,"Xi'an, China",509000000
164,"Makuhari, Massa, Chiba, Japan",78300
165," Jyväskylä, Finland",22700000
166," Bond University, Gold Coast, Queensland, Australia",4710000
167,"Pathumthani, Tailand",7900000
168,"Prague, Czech Republic",175000000
169,"Brighton, England, UK",175000000
170,"Los Angeles, CA, USA - Visual Proceedings",9970000
171,"Savannah, Georgia, USA",116000000
172, Heidelberg,164000000
173,"York, England",1520000000
174,Dresden,167000000
175," Gaithersburg, MD, USA",19600000
176,"Saint-Malo, France",72200000
177,"Frankfurt/Main, Germany",258000000
178,"Bath, England, UK",260000000
179,"Strasbourg, France",123000000
180,Singapore,1340000000
181,"Campinas, Brazil",64400000
182,"Adelaide, Australia",287000000
183,"San Diego, California, USA - Hands on",417000000
184,"San Diego, California, USA - Multimedia Computing and Museums",38100000
185,"Lake Placid, New York, USA",3230000
186," Glasgow, UK",192000000
187," Szeged, Hungary",19600000
188," Skövde, Sweden",7010000
189,"Lausanne, Switzerland",76400000
190," Durham, New Hampshire, USA",41100000
191,"Chapel Hill, North Carolina, USA",140000000
192," Maastricht, The Netherlands",51800000
193,Chemnitz,62900000
194,"Rockville, Maryland, USA",50000000
195,"Huddersfield, UK",40800000
196,"Fort Lauderdale, Florida, USA",142000000
197,"Montreal, Quebec, Canada",373000000
198," Innsbruck, Austria",55000000
199,"Toronto, ON, Canada",622000000
200," Corfu, Greece",26600000
201,"La Jolla, California",61200000
202," Santa Cruz, California, USA",296000000
203,"Taoyuan, Taiwan",17500000
204,"Taoyuan, Taiwan - Full Papers",2860000
205,"Birmingham, UK",417000000
206,"Quebec, Canada",377000000
207,"Philadephia, PA, USA",485000000
208," Friedrichshafen, Germany",17600000
209,"Columbia, Maryland, USA",452000000
210," Nashville, TN, USA",140000000
211,"Santa Cruz, California, USA",296000000
212," Monterey, California, USA",96800000
213,"Marburg, Germany",29200000
214," Montpellier, France",105000000
215,"Fukuoka, Japan",44100000
216," Magdeburg, Germany",30300000
217,"Montréal, Québec, Canada - Fuzzy Logic in Artificial Intelligence",525000
218,"Perth, WA, Australia",175000000
219," Santa Barbara, California, USA",248000000
220,"Regensburg, Germany",42400000
221,"Orcas Island, Washington, USA",3640000
222,"Limassol, Cyprus",31600000
223," Ann Arbor, MI, USA",187000000
224,"Cairns, Australia",55500000
225,"Bielefeld, Germany",55300000
226," Arlington, VA, USA",84600000
227,Firenze,187000000
228,"Canberra, ACT, Australia",101000000
229,"Blue Mountain Lake, New York, USA",123000000
230,"Montréal, Québec, Canada - Learning for Natural Language Processing",7380000
231," Bad Neuenahr, Germany",5700000
232," Barcelona, Spain and2nd Virtual Environments 1995",517000
233," Konstanz, Germany",70300000
234,"Portland, Maine",164000000
235,"Saint Malo, France",72000000
236,"Florence, Italy",223000000
237,"Fribourg, Switzerland",25300000
238," Portland, Oregon, USA",361000000
239,"Torremolinos, Spain",14600000
240,"Montréal, Québec, Canada - Adaption and Learning in Multi-Agent Systems",4400000
241," Adelaide, Australia",287000000
242,"Nagoya, Aichi, Japan",17100000
243,"Bloomington, IN, USA",63200000
244,"Granada, Spain",147000000
245,Bielefeld,82500000
246," McLean, Virginia, USA",46800000
247," La Jolla, CA, USA",59100000
248,"Salford, UK",28400000
249," Tel Aviv, Israel",85800000
250,"Dijon, France",103000000
251,"Pasadena, California, USA",94000000
252," Gubbio, Umbria, Italy",928000
253,"Passau, Germany",23400000
254,"Richmond, KY, USA",55700000
255,"Essex, VT, USA",19500000
256,"Thessaloniki, Greece (Satellite Event of ETAPS 2018)",131000
257,"Melbourne, NSW, Australia",271000000
258,"New Orleans, Louisiana, USA, Student Research Workshop",11500000
259,"New Orleans, Louisiana, USA, Demonstrations",31400000
260,"New Orleans, Louisiana, USA, Tutorial Abstracts",1520000
261,"Hong Kong, China - Companion Publication",10700000
262,"New Orleans, Louisiana, USA, Volume 3 (Industry Papers)",7500000
263,"New Orleans, Louisiana, USA, Volume 2 (Short Papers)",30600000
264,"New Orleans, Louisiana, USA, Volume 1 (Long Papers)",51700000
265,"Newcastle upon Tyne, United Kingdom",54800000
266,"Rhodes, Greece - Workshops",783000
267,"Rennes, France - Volume 2",43700000
268,"Brussels, Belgium - System Demonstrations",15100000
269,"Belgium, Brussels",291000000
270,"Belgium, Brussels - Shared Task",17000000
271,"Tokyo, Japan - Volume 1",151000000
272,"Hakodate, Sapporo, Japan",1490000
273,"Tempe, AZ, USA - Posters",3400000
274,"Rochester, MI, USA",59200000
275,"Lanzarote, Spain",48100000
276,"Nancy, France - Exploratory Papers",10200000
277,"Nancy, France - Panels, Demos and Posters",10300000
278,"Seeon Monastery, Bavaria, Germany",71200
279,"Newcastle, NSW, Australia - Part I",118000000
280,"Newcastle, NSW, Australia - Part II",104000000
281,"San Carlos, Alajuela, Costa Rica",5020000
282,"Cádiz, Spain - Volume 3",6620000
283,"Cádiz, Spain - Volume 2",6760000
284,"Cádiz, Spain - Volume 1",6430000
285,"Melbourne, Australia - Tutorial Abstracts",13400000
286,"Melbourne, Australia - System Demonstrations",51300000
287,"Otranto, Italy - Part I",984000
288,"Otranto, Italy - Part II",2550000
289,"Melbourne, Australia - Student Research Workshop",32900000
290,"Funchal, Madeira, Portugal - Revised Selected Papers",74000
291,"Melbourne, Australia - Volume 2",91200000
292,"Rio de Janeiro, RJ, Brazil - Proceeedings Companion",4800000
293,"Nanjing, China - Part II",89700000
294,"Nanjing, China - Part I",53100000
295,"Bento Gonçalves, RS, Brazil",4220000
296,"Lake Tahoe, NV, USA - Workshops",6350000
297,"Macao, SAR, China",101000000
298,"Otranto, Italy",4990000
299,"Brno, Czech Republic - Posters",8120000
300,"Tokyo, Japan - Companion",17300000
301,"Vancouver, BC, Canada - Challenge",74900000
302,"Regensburg, Germany - Part I",43100000
303,"Regensburg, Germany - Part II",63200000
304,"Lisbon, Portugal - Companion",27800000
305,"Salt Lake City, UT, USA - Workshops",69500000
306,"Kyoto, Japan - Companion Material",1620000
307,"Stevenson, WA, USA",10100000
308,"Ulm, Germany - Workshops",18400000
309,"Sydney, NSW, Australia / Wollongong, NSW, Australia",26100000
310,"Delft, The Netherlands - Education Papers",6300000
311,"Sofia, Bulgaria - Student Sessions",7270000
312,"Lisbon, Portugal / Madrid, Spain / Seville, Spain - Revised and Extended Selected Papers",520000
313,"Berlin, Germany - Adjunct Volume",10100000
314,"Vancouver, BC, Canada - Posters Proceedings",1190000
315,"Zurich, Switzerland - Companion",6030000
316,"Vancouver, BC, Canada - Panels",22900000
317,"Boulder, CO, USA - Adjunct",974000
318,"Delft, The Netherlands - Short Papers",11000000
319,"Platja d'Aro, Spain",1340000
320,"Vancouver, BC, Canada - Educator's Forum",39100000
321,"Stockholm, Schweden",37300000
322,"Gold Coast, QLD, Australia - Volume 2",63500000
323,"Gold Coast, QLD, Australia - Volume 1",66000000
324,"Delft, The Netherlands - Posters",6930000
325,"Shenzhen, Guangdong, China",43900000
326,"Melbourne, Australia - Volume 1",112000000
327,"Karlsruhe, Germany - EI&I Track",31300
328,"Austin, TX, USA / 2018",380000000
329,"Poznań, Poland - Position Papers",1490000
330,"Poznań, Poland - Communication Papers",2210000
331,"Louisville, KY, USA",162000000
332,"Funchal, Madeira, Portugal - Volume 1",5190000
333,"Funchal, Madeira, Portugal - Volume 2",6970000
334,"Verona, Italy - Selected Papers",9640000
335,"St. Petersburg, Russia - Workshops",31700000
336,"Toronto, ON, Canada - Adjunct Proceedings",893000
337,"Vail, CO, USA",10000000
338,"Magdeburg, Germany",34300000
339,"Clear Water Bay, Hong Kong",62400000
340,"Aberdeen, UK",114000000
341," Delphi, Greece",20600000
342,"Beijing, China and Hong Kong",167000000
343,"Barcelona, Catalonia, Spain",30100000
344,"Port Jefferson, New York, USA",14900000
345,"Varna, Bulgaria",37500000
346,"Asilomar, CA, USA",1740000
347,"Delphi, Greece",20600000
348," Barcelona, Catalonia, Spain",30100000
349," Amsterdam, the Netherlands",594000000
350," Cape Cod, Massachusetts, USA",55400000
351,"Shanghai, China",430000000
352,"Kraków, Poland",158000000
353," Tucson, Arizona",183000000
354,"Nashville, TN, USA",138000000
355,"Gold Coast, Australia",558000000
356," Capri, Italy",70500000
357," Estes Park, Colorado, USA",16300000
358,"Brisbane, Australia",265000000
359," Passau, Germany",23600000
360," Newport Beach, CA, USA",55400000
361,"Birmingham, U.K.",301000000
362," Kharagpur, India",12200000
363,"Skövde, Sweden",6350000
364,"Washington, D.C. USA",1630000000
365,"Los Angeles, California, USA - Visual Proceedings",11200000
366,"Providence, RI, USA",27000000
367,Roma,908000000
368,"Providence, RI, US",91100000
369,Ulm,53200000
370,"Sant Feliu de Guixols, Catalonia, Spain",319000
371,"Toledo, Spain",86300000
372,"Birmingham, England",317000000
373,"Dearborn, MI, USA",14100000
374,"Tucson, Arizona",183000000
375," Southampton, U.K.",142000000
376,"Marina del Rey, CA, USA",53400000
377," Lancaster, UK",211000000
378,"Lanzarote, Canary Islands, Spain",10200000
379,"Brighton, England",231000000
380,"Jyväskylä, Finland",22600000
381," Southampton, UK",156000000
382," Fairfax, VA, USA",24000000
383,"Konstanz, Germany",69000000
384,"Olympia, Washington, USA",54100000
385," Lille, France",264000000
386,Potsdam,71500000
387,München,376000000
388," Kobe, Japan - Volume 2",14300000
389," Kobe, Japan - Volume 3",14300000
390," Kobe, Japan - Volume 1",18500000
391,Freiberg,14900000
392," Maui, Hawaii, USA - Volume 6",8490000
393," Bloomington, IL, USA",65500000
394,"Hammamet, Tunisia",6200000
395,"Orléans, France",352000000
396,"Providence, Rhode Island",78200000
397,"Rhodes, Greece",87600000
398," Lübeck, Germany",43200000
399,"Eilat, Israel",7960000
400," Lake Tahoe, CA, USA",19500000
401,"Device-Independent Color, Color Hard Copy, and Graphic Arts 1997",14900000
402," Montreux, Switzerland",14600000
403,"Annapolis, MD, USA",20100000
404," Durham, North Carolina, USA",60700000
405,"Uppsala, Sweden - Working Group Reports",10600000
406,"Taipei, Taiwa",221000000
407,"Maribor, Slovenia",13500000
408," Research Triangle Park, North Carolina, USA",14400000
409," Dortmund, Germany",142000000
410," Banff, Alberta, Canada",24200000
411,"Vietri sul Mare, Salerno, Italy",1570000
412,"Turin, Italy",74800000
413,"Las Vegas, Nevada",340000000
414,"Kloster Irsee, Bavaria, Germany",214000
415,"Florence, Italy - Volume 1",137000000
416,"Florence, Italy - Volume 2",129000000
417,"Cork, UK",158000000
418,"Crans-Montana, Switzerland",2910000
419,"Essex, UK",203000000
420,"Budapest, Hungary - Tutorials",13300000
421,"London, England, UK",1690000000
422,"Guimarães, Portugal",47600000
423,"Bled, Slovenia",8710000
424,"Nantes, France",148000000
425,"Niagara-on-the-Lake, Ontario",46200000
426," Dearborn, Michigan, USA",14300000
427,"Vienna, Austria and Budapest, Hungary",32300000
428,"Palm Springs, California, USA",131000000
429,"Madison, Wisconsin, USA",585000000
430,"Liverpool, UK",441000000
431,"Hangzhou, China",66600000
432," Honolulu, Hawai, USA",86600000
433," New York, NY, USA",3120000000
434," Washington DC, USA",1560000000
435,"Research Triangle Park, NC, USA",13800000
436,"Lisbon, Portugal - Tutorials",36400000
437,"Lisbon, Portugal (Part of ETAPS 1998)",22100000
438,"Fort Worth, Texas, USA",179000000
439,"Lisbon, Portugal - Short Presentations",25700000
440,"Hsinchu, Taiwan - Full Papers",18300000
441,"Hsinchu, Taiwan - Poster Paper",334000
442," Chennai, India",324000000
443," Smolenice Castle, Slovak Republic",20700
444,"Chemnitz, Germany",61200000
445," Cardiff, Wales, U.K.",109000000
446,"Shelter Island, NY, USA",19400000
447,"Freiburg, Germany - Volume 2",26400000
448,"Vienna, Austria and Budapest, Hunary",32300000
449,"Louvain-la-Neuve, Belgium",5410000
450,"Freiburg, Germany - Volume 1",11700000
451,"Rouen, France",81600000
452," Québec City, Canada - Volume 2",80700000
453,"Tiburon, California, USA",10200000
454,"Siena, Italy",71300000
455,"Lisbon, Portugal - State of the Art Reports",32800000
456,"Maringá, Paraná, Brasil",49400000
457,"Roskilde University, Denmark",7780000
458,"Hiroshima, Japan",51900000
459," Philadelphia, Pennsylvania, USA",316000000
460,"Lafayette, Lousiana, USA",75600000
461,"Hong Kong, China - Volume 2",285000000
462,"Hong Kong, China - Volume 1",325000000
463,"Bethesda, Maryland, USA",67500000
464,"Santa Fe, NM, USA",74600000
465," Kohala Coast, Hawaii, USA - Volume 2",644000
466," Kohala Coast, Hawaii, USA - Volume 1",795000
467,"Redondo Beach, California, USA",53300000
468,"Device-Independent Color, Color Hard Copy, and Graphic Arts 1998",18200000
469,"Vancouver, B.C., Canada",410000000
470," Kohala Coast, Hawaii, USA - Volume 3",745000
471," Kohala Coast, Hawaii, USA - Volume 4",729000
472," Kohala Coast, Hawaii, USA - Volume 5",618000
473," Kohala Coast, Hawaii, USA - Volume 6",681000
474,"Nara, Japan",97100000
475,"Bristol, England",295000000
476," Honolulu, Hawaii, USA",86600000
477,"Quebec City, Canada",222000000
478," Frankfurt/Main, Germany",237000000
479," Brno, Czech Republic",36400000
480,"Kohala Coast, Hawaii, USA - Volume 7",707000
481,"Ames, Iowa, USA",70900000
482," St. Paul, Minnepolis, USA",162000000
483,"Ischia, Italy",24300000
484,"Dayton, Ohio, USA",154000000
485,"Manchester, United Kingdom",315000000
486,"Cork, Ireland",284000000
487,"Sanibel Island, Florida, USA",6010000
488," Lisbon, Portugal (Part of ETAPS 1998)",22100000
489,"New York City, New York, USA",3930000000
490,"Las Palmas de Gran Canaria, Spain",46200000
491,"Manchester, U.K.",680000000
492," Madison, Wisconsin, USA",585000000
493," Minneapolis, Minnesota, USA",958000000
494,"Taipei, Taiwan, ROC",15300000
495,"Brno, Czech Republic",36400000
496," Puerto Vallarta, Mexico",49000000
497,"Metz, France",98700000
498,"Bristol, UK",299000000
499,"Aalborg, Denmark",26300000
500,"Hong Kong, China",1410000000
501,"Buffalo, New York, USA",573000000
502,"Orlando, Florida, USA - Electronic Art and Animation Catalog",11800000
503,"Orlando, Florida, USA - Abstracts and Applications",7510000
504," Tainan, Taiwan",19900000
505,"Minneapolis, MN, USA",192000000
506,"Piscataway, New Jersey, USA",3040000
507,"Manila, The Philippines",272000000
508,"Riga, Latvia - Part I",58300000
509,"Rome, Italy (Part of ETAPS 2013)",17500000
510,"Girona, Spain - Posters",1850000
511,"Nassau, Bahamas",29200000
512,"Puerto de la Cruz, Tenerife, Spain",24500000
513,"Plan, Activity, and Intent Recognition 2013",118000000
514,"Santa Monica, CA, USA - Companion",21900000
515,"Girona, Spain - State of the Art Reports",1070000
516,"Santa Monica,CA,USA",181000000
517,"Palm Springs, CA, USA - Works in Progress / Demos",12700000
518,"Girona, Spain - Tutorials",1070000
519,"Valencia, Spain  / Norrköping, Sweden",621000
520,"Madrid,Spain",894000000
521,"Girona, Spain - Short Papers",1120000
522,"Aachen, Germany - Selected Papers",2200000
523,"Freiberg, Germany",11800000
524,"Girona, Spain - Dirk Bartz Prize",49200
525,"Portland, OR, USA - Workshops",4180000
526,"Lake Placid, NY, USA",4980000
527,"Budapest, Hungary, Australia",55000000
528,"Rio de Janeiro, Brazil - LDOW Workshop",29100000
529,"Porto de Galinhas, Pernambuco, Brazil",572000
530,"Riva del Garda, Trento, Italy",10100000
531,"Madison, WI, USA",301000000
532,"Barcelona, Spain - Revised Selected Papers",4000000
533,"Manila, Philippines",281000000
534,"Canterbury, United Kingdom - Working Group Reports",16000000
535,"Kraków, Poland - Position Papers",4230000
536,"Displaying, Processing, Hardcopy, and Applications 2013",2250000
537,"Koblenz, Germany - KESE",79400
538,"Rodney Bay, St. Lucia",21900000
539,"Girona, Spain - Lab Presentations",508000
540,"Girona, Spain - Education Papers",1220000
541,"Asheville, NC, USA",26000000
542,Magdeburg,55700000
543,"Okinawa, Japan - Workshops",2620000
544,"Vellore, Tamil Nadu, India",18300000
545,"Hong Kong, China - Workshops",32800000
546,"Orlando, FL, USA - Workshop on GeoStreaming",80300
547," Ratchathewi, Bangkok, Thailand - Volume 1",12300000
548," Ratchathewi, Bangkok, Thailand - Volume 2",6440000
549,"Gwangju, CA, Korea",1590000
550,"Washington, DC, USA - FOCI",3160000
551,"Washington, DC, USA - HealthTech",251000
552,"Hefei, Chin",980000
553,"Paphos, Cyprus - Doctoral Consortium",41400
554,"Melbourne, VIC, Australia",417000000
555,"Genoa, Italy - Workshop",11400000
556,"Vicenza, VI, Italy",14200000
557,"Saint Paul, MN, USA",125000000
558,"Koloa, HI, USA",286000
559,"Adelaide, Australia - LNCS Selection",125000
560,"Amsterdam, The Netherlands - Companion Material",8970000
561,"Matsue, Japan",2230000
562,"Salamanca, Spain - Workshops",5460000
563,"Sofia, Bulgaria - Shared Task",21900000
564,"Nanning, China",9140000
565," Anaheim, CA, USA - Talks",1290000
566,"Anaheim, CA, USA - Studio Talks",3840000
567," Anaheim, CA, USA - Posters",16100000
568,"Anaheim, CA, USA - Mobile",26400000
569,"Anaheim, CA, USA - Computer Animation Festival",338000
570,"Hong Kong, China / Kuala Lumpur, Malaysia",56200000
571,"Santa Barbara, CA, USA - Student Workhop",19500000
572,"Puerto de La Cruz, Tenerife, Canary Islands, Spain",5480000
573,"Beijing, China - Doctoral Symposium",1270000
574,"Beijing, China - Industry Track",35000000
575,"Zurich, Switzerland - Adjunct Publication",531000
576,"Beijing, China - Demo & Poster Track",955000
577,"Naha, Japan",17900000
578,"Prague, Czech Republic - Workshops",20200000
579,"Anaheim, CA, USA - Emerging Technologies",465000
580,"Pensacola, FL, USA",43100000
581," Fortaleza, Brazil",76000000
582,"Memphis, TN, USA - Workshops",9570000
583," Eugene, OR, USA",292000000
584,"Eugene, OR, USA",292000000
585,"Lake Tahoe, Nevada, United States",15300000
586,"St Andrews, United Kingdom",224000000
587,"Daejeon, Republic of Korea",4460000
588,"Nagoya, Japan - Abdominal Imaging",10300000
589,"Enschede,Netherlands",23000000
590,"Kenting, Taiwan - Workshops",143000
591,"Fukuoka, Japan (Companion)",754000
592,"Montreux, Switzerland",14600000
593," Bologna, Italy",181000000
594,"Gold Cost, QL, Australia",101000000
595,"Cairns, Queensland, Australia",76900000
596,"Sophia Antipolis, France",4980000
597,"Canberra, Australia",119000000
598,"Newport Beach, California, USA",107000000
599,"Sydney, NSW, Australia",292000000
600,"Tsukuba, Japan",11200000
601," Melbourne, Australia",522000000
602, Petri Nets 1996,10300000
603,Petri Nets 1996,10300000
604,"Lake Arrowhead, CA, USA",3660000
605," Moscow, Russia",452000000
606,"White Plains, NY, USA",31200000
607," Padua, Italy",20300000
608,"Leipzig, Germany",220000000
609," Hiroshima, Japan",52700000
610,"Crete, Greece",118000000
611,"Adelaide, South Australia",267000000
612," Bonn, Germany",112000000
613," Geneva, Switzerland",215000000
614,"Cape May, New Jersey, USA",109000000
615,"New Orleans, LA, USA - Visual Proceedings",38400000
616,"Lancaster, UK",193000000
617,"New Brunswick, New Jersey",128000000
618,"Bari, Italy",125000000
619," Hyderabad, India",416000000
620," Cambridge, UK - Object Representation in Computer Vision",13900000
621," Osaka, Japan",211000000
622,"Cambridge, UK - Volume 1",382000000
623,"Cambridge, U.K.",555000000
624," Vancouver, BC, Cannada",387000000
625,"Cambridge, UK - Volume 2",328000000
626,"Daytona Beach, Florida, USA",58100000
627," Syracuse, NY, USA",83000000
628," Puerto Varas, Chile",13400000
629," Cairns, Australia - Workshops",1240000
630,"Seoul, South Korea",319000000
631," Cairns, Australia - Workshop on Intelligent Agent Systems",433000
632,"Budapest, Hungary - Workshop on Dialogue Processing in Spoken Language Systems",954000
633,"Budapest, Hungary - Workshop LDAIS /2. ICMAS 1996",104000
634," Santa Clara, California",205000000
635," Research Triangle Park, NC, USA",16600000
636," Laguna Beach, California, USA",78900000
637,"Laguna Beach, California, USA",78900000
638," Cairns, Australia",51200000
639,"Aizu-Wakamatsu, Fukushima, Japan",320000
640," Cottbus, Germany",18200000
641," Cracow, Poland",12000000
642,"San Sebastian, Spain",51100000
643,"Boston, MA",858000000
644,"Maui, Hawaii, USA",29800000
645,"Cottbus , Germany",16100000
646,"Bernried, Germany",726000
647,"Budapest, Hungary - State of the Art Reports",21100000
648," Saint-Malo, France",69700000
649,"Townsville, North Queensland, Australia",25800000
650," Las Palmas de Gran Canaria, Canary Islands, Spain",8510000
651,"Southampton, UK",149000000
652," Mannheim, Germany",87400000
653," Ramat-Gan, Israel",5290000
654,"Houston, TX, USA",619000000
655," Melbourne, Victoria, Australia",394000000
656," Newport, RI, USA",22900000
657," Verona, Italy",136000000
658,"Albuquerque, NM, USA - Case Studies",21900000
659," Washington, USA",1770000000
660,"Lisboa, Portugal",162000000
661,"Palma, Mallorca, Spain",58400000
662," Santa Fe, NM, USA",66300000
663,Duisburg,60200000
664,"Halkidiki, Greece",8370000
665,"Ascona, Ticino, Switzerland",649000
666,"Espoo, Finland",33600000
667," Ottawa, Ontario, Canada",215000000
668,"Aizu-Wakamatsu, Japan",624000
669,"Lake Tahoe, California, USA",77700000
